CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro ; Serial number 850763"
DESCRIPTOR	"차트 105 패치a"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
DENSITY_FILTER_STANDARD	"Status T"
DENSITY_WHITE_REFERENCE	"Relative white"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2025-10-20T02:46:06"

NUMBER_OF_FIELDS	51
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	D_VIS	D_RED	D_GREEN	D_BLUE	
END_DATA_FORMAT

NUMBER_OF_SETS	105
BEGIN_DATA
18	-	  132.60	  255.00	  255.00	 0.42455	 0.53166	 0.69040	   77.97	  -24.67	  -26.43	    0.5481	    0.5680	    0.5776	    0.6223	    0.7189	    0.7946	    0.8375	    0.8577	    0.8673	    0.8675	    0.8606	    0.8489	    0.8323	    0.8090	    0.7759	    0.7282	    0.6636	    0.5807	    0.4871	    0.4128	    0.3649	    0.3369	    0.3139	    0.2983	    0.2950	    0.2982	    0.3099	    0.3349	    0.3649	    0.3818	    0.3795	    0.3656	    0.3420	    0.3231	    0.3340	    0.3811	    0.25	    0.44	    0.11	    0.03	
19	-	  122.40	  255.00	  255.00	 0.39379	 0.50371	 0.68218	   76.30	  -26.86	  -28.57	    0.6793	    0.5890	    0.5793	    0.6147	    0.7074	    0.7827	    0.8270	    0.8486	    0.8584	    0.8581	    0.8509	    0.8388	    0.8212	    0.7968	    0.7614	    0.7101	    0.6409	    0.5530	    0.4552	    0.3778	    0.3286	    0.2999	    0.2765	    0.2604	    0.2570	    0.2601	    0.2715	    0.2961	    0.3256	    0.3424	    0.3398	    0.3255	    0.3015	    0.2820	    0.2918	    0.3384	    0.28	    0.50	    0.12	    0.03	
20	-	  112.20	  255.00	  255.00	 0.36861	 0.48132	 0.67720	   74.91	  -28.96	  -30.51	    0.4537	    0.5065	    0.5583	    0.6018	    0.6964	    0.7738	    0.8206	    0.8437	    0.8540	    0.8540	    0.8466	    0.8338	    0.8154	    0.7893	    0.7515	    0.6968	    0.6233	    0.5307	    0.4288	    0.3488	    0.2981	    0.2689	    0.2451	    0.2290	    0.2256	    0.2288	    0.2400	    0.2641	    0.2935	    0.3102	    0.3074	    0.2929	    0.2688	    0.2489	    0.2582	    0.3039	    0.31	    0.55	    0.13	    0.04	
21	-	  102.00	  255.00	  255.00	 0.34335	 0.45826	 0.67127	   73.43	  -31.09	  -32.50	    0.5077	    0.5197	    0.5544	    0.5959	    0.6887	    0.7637	    0.8125	    0.8375	    0.8481	    0.8479	    0.8401	    0.8266	    0.8075	    0.7804	    0.7403	    0.6822	    0.6044	    0.5070	    0.4015	    0.3191	    0.2676	    0.2380	    0.2143	    0.1983	    0.1949	    0.1982	    0.2092	    0.2326	    0.2613	    0.2777	    0.2748	    0.2603	    0.2361	    0.2162	    0.2251	    0.2698	    0.33	    0.61	    0.14	    0.04	
22	-	   91.80	  255.00	  255.00	 0.32246	 0.43912	 0.66851	   72.17	  -32.98	  -34.43	    0.8624	    0.5967	    0.5683	    0.5959	    0.6842	    0.7591	    0.8089	    0.8347	    0.8451	    0.8451	    0.8368	    0.8226	    0.8025	    0.7742	    0.7321	    0.6710	    0.5888	    0.4869	    0.3779	    0.2936	    0.2414	    0.2115	    0.1882	    0.1726	    0.1696	    0.1730	    0.1838	    0.2066	    0.2346	    0.2505	    0.2475	    0.2332	    0.2093	    0.1898	    0.1985	    0.2419	    0.36	    0.67	    0.15	    0.04	
23	-	   81.60	  255.00	  255.00	 0.29760	 0.41558	 0.66252	   70.57	  -35.22	  -36.63	    0.9188	    0.6119	    0.5775	    0.5855	    0.6720	    0.7487	    0.8011	    0.8284	    0.8396	    0.8393	    0.8303	    0.8155	    0.7945	    0.7646	    0.7201	    0.6550	    0.5681	    0.4612	    0.3487	    0.2629	    0.2106	    0.1811	    0.1586	    0.1437	    0.1409	    0.1444	    0.1548	    0.1768	    0.2038	    0.2193	    0.2162	    0.2020	    0.1786	    0.1599	    0.1685	    0.2112	    0.39	    0.74	    0.16	    0.04	
24	-	   71.40	  255.00	  255.00	 0.27498	 0.39437	 0.66047	   69.07	  -37.55	  -39.03	    0.8471	    0.5857	    0.5629	    0.5764	    0.6654	    0.7428	    0.7980	    0.8276	    0.8393	    0.8387	    0.8291	    0.8132	    0.7910	    0.7594	    0.7119	    0.6424	    0.5497	    0.4370	    0.3204	    0.2331	    0.1811	    0.1523	    0.1307	    0.1169	    0.1147	    0.1185	    0.1287	    0.1498	    0.1759	    0.1909	    0.1876	    0.1736	    0.1512	    0.1334	    0.1421	    0.1846	    0.42	    0.83	    0.17	    0.05	
25	-	   61.20	  255.00	  255.00	 0.25723	 0.37739	 0.66351	   67.83	  -39.45	  -41.45	    0.9238	    0.6408	    0.5643	    0.5739	    0.6625	    0.7425	    0.8015	    0.8330	    0.8452	    0.8445	    0.8341	    0.8168	    0.7929	    0.7588	    0.7077	    0.6333	    0.5341	    0.4155	    0.2952	    0.2071	    0.1561	    0.1285	    0.1083	    0.0958	    0.0943	    0.0982	    0.1083	    0.1287	    0.1540	    0.1685	    0.1651	    0.1515	    0.1299	    0.1132	    0.1228	    0.1658	    0.44	    0.91	    0.18	    0.04	
26	-	   51.00	  255.00	  255.00	 0.23867	 0.35834	 0.65891	   66.39	  -41.20	  -43.49	    0.9225	    0.6357	    0.5554	    0.5669	    0.6501	    0.7328	    0.7941	    0.8283	    0.8415	    0.8415	    0.8311	    0.8132	    0.7881	    0.7520	    0.6973	    0.6183	    0.5140	    0.3909	    0.2688	    0.1814	    0.1321	    0.1062	    0.0878	    0.0768	    0.0756	    0.0796	    0.0892	    0.1085	    0.1327	    0.1466	    0.1432	    0.1301	    0.1098	    0.0947	    0.1049	    0.1478	    0.47	    1.00	    0.19	    0.05	
27	-	   40.80	  255.00	  255.00	 0.21985	 0.33769	 0.65072	   64.78	  -42.72	  -45.50	    0.8826	    0.5810	    0.5306	    0.5472	    0.6328	    0.7166	    0.7825	    0.8199	    0.8341	    0.8347	    0.8243	    0.8060	    0.7796	    0.7413	    0.6828	    0.5986	    0.4893	    0.3630	    0.2406	    0.1554	    0.1089	    0.0853	    0.0689	    0.0594	    0.0587	    0.0624	    0.0712	    0.0890	    0.1116	    0.1248	    0.1215	    0.1091	    0.0904	    0.0768	    0.0871	    0.1294	    0.50	    1.10	    0.21	    0.05	
