CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro ; Serial number 850763"
DESCRIPTOR	"차트 105 패치a"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
DENSITY_FILTER_STANDARD	"Status T"
DENSITY_WHITE_REFERENCE	"Relative white"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2025-10-20T02:46:06"

NUMBER_OF_FIELDS	51
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	D_VIS	D_RED	D_GREEN	D_BLUE	
END_DATA_FORMAT

NUMBER_OF_SETS	105
BEGIN_DATA
73	-	  255.00	  255.00	   81.60	 0.70966	 0.79006	 0.14374	   91.24	  -10.79	   73.20	    0.2320	    0.1543	    0.1243	    0.1038	    0.1090	    0.1145	    0.1176	    0.1211	    0.1255	    0.1361	    0.1827	    0.3240	    0.5496	    0.7321	    0.8179	    0.8413	    0.8451	    0.8425	    0.8354	    0.8328	    0.8272	    0.8246	    0.8244	    0.8264	    0.8300	    0.8351	    0.8431	    0.8517	    0.8613	    0.8694	    0.8767	    0.8825	    0.8882	    0.8925	    0.8956	    0.8994	    0.02	    0.01	    0.04	    0.66	
74	-	  255.00	  255.00	   71.40	 0.70316	 0.78322	 0.12048	   90.93	  -10.84	   79.04	    0.0406	    0.1416	    0.0910	    0.0828	    0.0852	    0.0886	    0.0908	    0.0937	    0.0971	    0.1062	    0.1488	    0.2859	    0.5176	    0.7137	    0.8090	    0.8362	    0.8413	    0.8390	    0.8323	    0.8298	    0.8241	    0.8216	    0.8213	    0.8233	    0.8268	    0.8317	    0.8395	    0.8480	    0.8574	    0.8653	    0.8724	    0.8781	    0.8839	    0.8882	    0.8912	    0.8946	    0.03	    0.01	    0.04	    0.73	
75	-	  255.00	  255.00	   61.20	 0.69891	 0.77802	 0.10411	   90.69	  -10.72	   83.64	    0.1994	    0.0994	    0.0833	    0.0703	    0.0680	    0.0709	    0.0727	    0.0747	    0.0777	    0.0856	    0.1241	    0.2555	    0.4897	    0.6971	    0.8014	    0.8319	    0.8383	    0.8367	    0.8301	    0.8278	    0.8223	    0.8200	    0.8196	    0.8215	    0.8250	    0.8299	    0.8376	    0.8460	    0.8552	    0.8631	    0.8700	    0.8756	    0.8811	    0.8852	    0.8880	    0.8915	    0.03	    0.01	    0.05	    0.79	
76	-	  255.00	  255.00	   51.00	 0.69235	 0.76969	 0.08875	   90.31	  -10.49	   88.18	    0.2136	    0.1443	    0.0849	    0.0629	    0.0555	    0.0556	    0.0564	    0.0575	    0.0597	    0.0664	    0.0997	    0.2229	    0.4576	    0.6758	    0.7899	    0.8246	    0.8324	    0.8311	    0.8248	    0.8225	    0.8171	    0.8148	    0.8148	    0.8169	    0.8204	    0.8253	    0.8329	    0.8412	    0.8504	    0.8582	    0.8650	    0.8706	    0.8760	    0.8800	    0.8827	    0.8857	    0.03	    0.01	    0.05	    0.86	
77	-	  255.00	  255.00	   40.80	 0.69039	 0.76558	 0.07318	   90.12	  -10.09	   93.77	   -0.1421	    0.0385	    0.0402	    0.0425	    0.0378	    0.0397	    0.0406	    0.0417	    0.0434	    0.0483	    0.0755	    0.1874	    0.4209	    0.6538	    0.7815	    0.8217	    0.8309	    0.8303	    0.8244	    0.8226	    0.8175	    0.8154	    0.8157	    0.8178	    0.8216	    0.8267	    0.8345	    0.8430	    0.8523	    0.8600	    0.8670	    0.8724	    0.8775	    0.8815	    0.8844	    0.8874	    0.03	    0.01	    0.06	    0.94	
78	-	  255.00	  255.00	   30.60	 0.68704	 0.75854	 0.06053	   89.79	   -9.41	   98.68	    0.0825	    0.0746	    0.0419	    0.0300	    0.0297	    0.0295	    0.0296	    0.0294	    0.0304	    0.0343	    0.0539	    0.1488	    0.3752	    0.6229	    0.7680	    0.8160	    0.8274	    0.8272	    0.8216	    0.8199	    0.8151	    0.8134	    0.8138	    0.8163	    0.8204	    0.8259	    0.8341	    0.8430	    0.8527	    0.8607	    0.8677	    0.8736	    0.8788	    0.8828	    0.8854	    0.8886	    0.04	    0.01	    0.06	    1.02	
79	-	  255.00	  255.00	   20.40	 0.67301	 0.73544	 0.04489	   88.71	   -7.80	  104.75	    0.0149	   -0.0015	    0.0289	    0.0255	    0.0201	    0.0198	    0.0190	    0.0185	    0.0192	    0.0212	    0.0291	    0.0865	    0.2777	    0.5427	    0.7260	    0.7941	    0.8122	    0.8138	    0.8083	    0.8064	    0.8013	    0.7991	    0.7995	    0.8019	    0.8056	    0.8108	    0.8187	    0.8275	    0.8370	    0.8454	    0.8530	    0.8593	    0.8653	    0.8701	    0.8737	    0.8773	    0.05	    0.02	    0.08	    1.17	
80	-	  255.00	  255.00	   10.20	 0.67042	 0.72143	 0.03700	   88.04	   -5.48	  108.33	    0.0698	    0.0136	    0.0248	    0.0225	    0.0185	    0.0164	    0.0162	    0.0155	    0.0160	    0.0177	    0.0215	    0.0513	    0.1909	    0.4527	    0.6788	    0.7768	    0.8054	    0.8098	    0.8054	    0.8041	    0.7994	    0.7977	    0.7982	    0.8008	    0.8047	    0.8100	    0.8180	    0.8266	    0.8363	    0.8446	    0.8520	    0.8583	    0.8644	    0.8692	    0.8726	    0.8760	    0.05	    0.02	    0.10	    1.28	
81	-	  255.00	  255.00	    0.00	 0.67417	 0.71477	 0.03309	   87.72	   -3.27	  110.36	    0.1099	    0.0798	    0.0383	    0.0219	    0.0184	    0.0167	    0.0157	    0.0149	    0.0153	    0.0170	    0.0201	    0.0371	    0.1334	    0.3720	    0.6309	    0.7627	    0.8051	    0.8137	    0.8104	    0.8095	    0.8051	    0.8035	    0.8041	    0.8067	    0.8110	    0.8164	    0.8243	    0.8328	    0.8419	    0.8496	    0.8564	    0.8620	    0.8676	    0.8717	    0.8747	    0.8782	    0.06	    0.02	    0.12	    1.35	
82	-	  244.80	  244.80	  244.80	 0.75612	 0.78821	 0.66405	   91.15	   -0.79	   -1.28	    0.5054	    0.5826	    0.5794	    0.6190	    0.7157	    0.7845	    0.8076	    0.8138	    0.8210	    0.8218	    0.8196	    0.8175	    0.8142	    0.8082	    0.8024	    0.7977	    0.7941	    0.7875	    0.7787	    0.7775	    0.7745	    0.7734	    0.7736	    0.7755	    0.7790	    0.7839	    0.7919	    0.8009	    0.8108	    0.8186	    0.8250	    0.8297	    0.8343	    0.8385	    0.8429	    0.8486	    0.04	    0.04	    0.04	    0.04	
83	-	  234.60	  234.60	  234.60	 0.70317	 0.73289	 0.61949	   88.59	   -0.75	   -1.45	    0.5689	    0.5275	    0.5474	    0.5797	    0.6678	    0.7313	    0.7527	    0.7591	    0.7659	    0.7670	    0.7652	    0.7636	    0.7603	    0.7538	    0.7470	    0.7422	    0.7388	    0.7314	    0.7218	    0.7211	    0.7194	    0.7190	    0.7190	    0.7205	    0.7241	    0.7292	    0.7374	    0.7469	    0.7572	    0.7651	    0.7707	    0.7743	    0.7781	    0.7821	    0.7875	    0.7956	    0.07	    0.07	    0.07	    0.07	
84	-	  224.40	  224.40	  224.40	 0.65281	 0.68051	 0.58089	   86.03	   -0.75	   -2.00	    0.4124	    0.4778	    0.5020	    0.5432	    0.6254	    0.6842	    0.7050	    0.7122	    0.7196	    0.7212	    0.7190	    0.7151	    0.7097	    0.7020	    0.6946	    0.6897	    0.6868	    0.6791	    0.6691	    0.6682	    0.6667	    0.6662	    0.6657	    0.6667	    0.6701	    0.6754	    0.6838	    0.6937	    0.7044	    0.7121	    0.7169	    0.7200	    0.7228	    0.7263	    0.7327	    0.7430	    0.10	    0.10	    0.10	    0.10	
85	-	  214.20	  214.20	  214.20	 0.59273	 0.61808	 0.52970	   82.81	   -0.77	   -2.16	    0.3928	    0.4221	    0.4664	    0.4907	    0.5650	    0.6199	    0.6406	    0.6491	    0.6575	    0.6599	    0.6584	    0.6554	    0.6506	    0.6422	    0.6324	    0.6272	    0.6249	    0.6151	    0.6035	    0.6040	    0.6048	    0.6051	    0.6040	    0.6041	    0.6076	    0.6133	    0.6223	    0.6335	    0.6456	    0.6539	    0.6579	    0.6593	    0.6599	    0.6618	    0.6695	    0.6838	    0.14	    0.14	    0.14	    0.14	
86	-	  204.00	  204.00	  204.00	 0.54546	 0.56742	 0.48296	   80.03	   -0.42	   -1.72	    0.4361	    0.4001	    0.4255	    0.4447	    0.5130	    0.5614	    0.5817	    0.5909	    0.5998	    0.6037	    0.6032	    0.6012	    0.5975	    0.5892	    0.5786	    0.5740	    0.5728	    0.5624	    0.5504	    0.5530	    0.5566	    0.5581	    0.5570	    0.5572	    0.5614	    0.5681	    0.5782	    0.5914	    0.6053	    0.6144	    0.6183	    0.6189	    0.6181	    0.6195	    0.6285	    0.6468	    0.18	    0.18	    0.18	    0.18	
87	-	  193.80	  193.80	  193.80	 0.48559	 0.50489	 0.42954	   76.37	   -0.34	   -1.63	    0.4102	    0.3485	    0.3723	    0.3972	    0.4533	    0.4962	    0.5159	    0.5251	    0.5341	    0.5381	    0.5383	    0.5372	    0.5345	    0.5263	    0.5156	    0.5112	    0.5107	    0.4997	    0.4870	    0.4896	    0.4939	    0.4956	    0.4945	    0.4948	    0.5000	    0.5079	    0.5195	    0.5348	    0.5512	    0.5619	    0.5662	    0.5664	    0.5646	    0.5658	    0.5777	    0.6008	    0.23	    0.23	    0.23	    0.23	
88	-	  183.60	  183.60	  183.60	 0.43402	 0.45106	 0.38734	   72.96	   -0.26	   -2.05	    0.6182	    0.4154	    0.3639	    0.3636	    0.4103	    0.4467	    0.4642	    0.4732	    0.4817	    0.4855	    0.4851	    0.4840	    0.4815	    0.4732	    0.4620	    0.4574	    0.4571	    0.4459	    0.4330	    0.4352	    0.4395	    0.4414	    0.4402	    0.4404	    0.4458	    0.4542	    0.4663	    0.4823	    0.4996	    0.5111	    0.5153	    0.5155	    0.5140	    0.5156	    0.5293	    0.5556	    0.28	    0.28	    0.28	    0.28	
89	-	  173.40	  173.40	  173.40	 0.37878	 0.39554	 0.34299	   69.15	   -0.84	   -2.45	    0.6748	    0.4457	    0.3401	    0.3191	    0.3580	    0.3921	    0.4096	    0.4189	    0.4274	    0.4315	    0.4316	    0.4307	    0.4281	    0.4200	    0.4087	    0.4042	    0.4034	    0.3918	    0.3785	    0.3799	    0.3834	    0.3843	    0.3821	    0.3814	    0.3859	    0.3935	    0.4045	    0.4196	    0.4357	    0.4462	    0.4495	    0.4490	    0.4468	    0.4481	    0.4624	    0.4893	    0.34	    0.34	    0.33	    0.33	
90	-	  163.20	  163.20	  163.20	 0.32345	 0.33718	 0.28633	   64.74	   -0.60	   -1.34	    0.4721	    0.3596	    0.2670	    0.2606	    0.2953	    0.3247	    0.3397	    0.3484	    0.3567	    0.3615	    0.3633	    0.3650	    0.3651	    0.3577	    0.3463	    0.3423	    0.3429	    0.3318	    0.3199	    0.3239	    0.3298	    0.3315	    0.3293	    0.3281	    0.3317	    0.3382	    0.3478	    0.3615	    0.3761	    0.3849	    0.3866	    0.3846	    0.3808	    0.3809	    0.3940	    0.4199	    0.41	    0.41	    0.41	    0.41	
91	-	  153.00	  153.00	  153.00	 0.27503	 0.28511	 0.24306	   60.35	    0.05	   -1.44	    0.5280	    0.2963	    0.2412	    0.2254	    0.2490	    0.2740	    0.2879	    0.2959	    0.3034	    0.3074	    0.3088	    0.3102	    0.3097	    0.3025	    0.2912	    0.2876	    0.2888	    0.2785	    0.2676	    0.2725	    0.2794	    0.2821	    0.2803	    0.2794	    0.2834	    0.2900	    0.2996	    0.3133	    0.3276	    0.3362	    0.3372	    0.3345	    0.3301	    0.3294	    0.3421	    0.3687	    0.48	    0.48	    0.48	    0.48	
92	-	  142.80	  142.80	  142.80	 0.23016	 0.23897	 0.20598	   55.98	   -0.12	   -1.82	    0.4206	    0.2787	    0.2004	    0.1904	    0.2109	    0.2315	    0.2432	    0.2504	    0.2572	    0.2611	    0.2627	    0.2641	    0.2638	    0.2568	    0.2457	    0.2423	    0.2432	    0.2330	    0.2224	    0.2265	    0.2327	    0.2349	    0.2331	    0.2321	    0.2359	    0.2424	    0.2519	    0.2653	    0.2797	    0.2883	    0.2897	    0.2870	    0.2828	    0.2825	    0.2958	    0.3229	    0.56	    0.55	    0.55	    0.55	
93	-	  132.60	  132.60	  132.60	 0.18567	 0.19256	 0.16781	   50.98	    0.00	   -2.12	    0.3334	    0.2151	    0.1693	    0.1553	    0.1700	    0.1870	    0.1973	    0.2043	    0.2101	    0.2135	    0.2148	    0.2158	    0.2155	    0.2090	    0.1985	    0.1951	    0.1961	    0.1866	    0.1771	    0.1812	    0.1875	    0.1896	    0.1878	    0.1865	    0.1897	    0.1954	    0.2039	    0.2163	    0.2296	    0.2374	    0.2384	    0.2357	    0.2314	    0.2311	    0.2440	    0.2706	    0.65	    0.65	    0.65	    0.64	
94	-	  122.40	  122.40	  122.40	 0.14484	 0.14989	 0.13137	   45.62	    0.19	   -2.15	    0.3840	    0.2063	    0.1379	    0.1196	    0.1319	    0.1459	    0.1540	    0.1594	    0.1646	    0.1678	    0.1689	    0.1696	    0.1695	    0.1637	    0.1544	    0.1517	    0.1527	    0.1445	    0.1362	    0.1401	    0.1459	    0.1480	    0.1463	    0.1451	    0.1479	    0.1529	    0.1603	    0.1711	    0.1828	    0.1897	    0.1901	    0.1873	    0.1829	    0.1826	    0.1944	    0.2187	    0.76	    0.76	    0.76	    0.74	
95	-	  112.20	  112.20	  112.20	 0.11549	 0.11938	 0.10341	   41.12	    0.27	   -1.60	    0.3392	    0.1585	    0.1124	    0.0956	    0.1026	    0.1128	    0.1205	    0.1252	    0.1298	    0.1327	    0.1337	    0.1348	    0.1350	    0.1303	    0.1226	    0.1204	    0.1216	    0.1149	    0.1080	    0.1114	    0.1163	    0.1181	    0.1168	    0.1158	    0.1183	    0.1227	    0.1291	    0.1387	    0.1489	    0.1549	    0.1552	    0.1525	    0.1487	    0.1486	    0.1594	    0.1815	    0.86	    0.85	    0.86	    0.85	
96	-	  102.00	  102.00	  102.00	 0.09008	 0.09344	 0.08045	   36.64	   -0.01	   -1.29	    0.2525	    0.0921	    0.0742	    0.0719	    0.0783	    0.0864	    0.0930	    0.0973	    0.1015	    0.1042	    0.1052	    0.1059	    0.1060	    0.1025	    0.0966	    0.0949	    0.0957	    0.0902	    0.0843	    0.0866	    0.0904	    0.0919	    0.0908	    0.0900	    0.0921	    0.0958	    0.1013	    0.1095	    0.1183	    0.1233	    0.1235	    0.1210	    0.1178	    0.1179	    0.1275	    0.1469	    0.96	    0.96	    0.96	    0.96	
97	-	   91.80	   91.80	   91.80	 0.07105	 0.07402	 0.06254	   32.71	   -0.32	   -0.66	    0.1435	    0.0827	    0.0536	    0.0516	    0.0595	    0.0663	    0.0718	    0.0757	    0.0791	    0.0815	    0.0824	    0.0832	    0.0836	    0.0810	    0.0770	    0.0759	    0.0764	    0.0720	    0.0670	    0.0682	    0.0711	    0.0723	    0.0715	    0.0709	    0.0726	    0.0758	    0.0806	    0.0874	    0.0947	    0.0990	    0.0990	    0.0971	    0.0945	    0.0947	    0.1031	    0.1199	    1.07	    1.07	    1.06	    1.07	
98	-	   81.60	   81.60	   81.60	 0.05178	 0.05475	 0.04600	   28.05	   -1.21	   -0.46	   -0.0161	    0.0730	    0.0299	    0.0360	    0.0439	    0.0483	    0.0521	    0.0554	    0.0581	    0.0604	    0.0615	    0.0622	    0.0627	    0.0611	    0.0584	    0.0577	    0.0577	    0.0540	    0.0497	    0.0498	    0.0514	    0.0520	    0.0513	    0.0510	    0.0524	    0.0549	    0.0587	    0.0642	    0.0701	    0.0736	    0.0735	    0.0718	    0.0697	    0.0699	    0.0769	    0.0911	    1.20	    1.21	    1.18	    1.20	
99	-	   71.40	   71.40	   71.40	 0.03864	 0.04100	 0.03386	   24.00	   -1.32	   -0.02	   -0.0996	   -0.0408	    0.0113	    0.0241	    0.0305	    0.0345	    0.0383	    0.0409	    0.0432	    0.0445	    0.0458	    0.0473	    0.0480	    0.0468	    0.0443	    0.0435	    0.0434	    0.0401	    0.0365	    0.0365	    0.0382	    0.0390	    0.0385	    0.0382	    0.0392	    0.0412	    0.0444	    0.0490	    0.0540	    0.0570	    0.0567	    0.0550	    0.0533	    0.0537	    0.0595	    0.0719	    1.32	    1.33	    1.31	    1.33	
100	-	   61.20	   61.20	   61.20	 0.03172	 0.03342	 0.02762	   21.37	   -0.85	   -0.03	    0.0303	    0.0053	    0.0180	    0.0228	    0.0251	    0.0285	    0.0311	    0.0331	    0.0347	    0.0361	    0.0371	    0.0386	    0.0397	    0.0384	    0.0359	    0.0353	    0.0352	    0.0323	    0.0291	    0.0294	    0.0312	    0.0322	    0.0318	    0.0315	    0.0324	    0.0342	    0.0369	    0.0409	    0.0453	    0.0479	    0.0478	    0.0464	    0.0447	    0.0449	    0.0502	    0.0614	    1.41	    1.42	    1.40	    1.42	
101	-	   51.00	   51.00	   51.00	 0.02564	 0.02718	 0.02264	   18.88	   -1.08	   -0.19	   -0.0297	    0.0222	    0.0183	    0.0207	    0.0213	    0.0234	    0.0254	    0.0271	    0.0285	    0.0292	    0.0303	    0.0318	    0.0328	    0.0318	    0.0296	    0.0290	    0.0288	    0.0262	    0.0235	    0.0238	    0.0252	    0.0260	    0.0256	    0.0253	    0.0260	    0.0274	    0.0296	    0.0331	    0.0368	    0.0390	    0.0389	    0.0376	    0.0360	    0.0362	    0.0409	    0.0505	    1.50	    1.51	    1.48	    1.50	
102	-	   40.80	   40.80	   40.80	 0.01906	 0.02035	 0.01704	   15.67	   -1.30	   -0.27	    0.0002	    0.0006	    0.0098	    0.0129	    0.0163	    0.0178	    0.0191	    0.0203	    0.0213	    0.0222	    0.0231	    0.0241	    0.0248	    0.0241	    0.0225	    0.0220	    0.0218	    0.0197	    0.0176	    0.0177	    0.0187	    0.0192	    0.0188	    0.0185	    0.0191	    0.0203	    0.0220	    0.0248	    0.0278	    0.0295	    0.0293	    0.0284	    0.0271	    0.0272	    0.0311	    0.0391	    1.63	    1.64	    1.61	    1.63	
103	-	   30.60	   30.60	   30.60	 0.01538	 0.01627	 0.01429	   13.40	   -0.84	   -1.06	    0.0835	    0.0126	    0.0173	    0.0163	    0.0136	    0.0149	    0.0161	    0.0169	    0.0179	    0.0186	    0.0189	    0.0195	    0.0199	    0.0192	    0.0178	    0.0174	    0.0173	    0.0157	    0.0141	    0.0142	    0.0150	    0.0153	    0.0151	    0.0148	    0.0153	    0.0162	    0.0177	    0.0200	    0.0225	    0.0239	    0.0239	    0.0230	    0.0219	    0.0221	    0.0255	    0.0326	    1.73	    1.74	    1.70	    1.70	
104	-	   20.40	   20.40	   20.40	 0.01009	 0.01082	 0.00893	    9.66	   -1.22	    0.00	   -0.1094	   -0.0573	   -0.0208	    0.0016	    0.0079	    0.0084	    0.0098	    0.0110	    0.0118	    0.0123	    0.0126	    0.0132	    0.0135	    0.0129	    0.0119	    0.0116	    0.0115	    0.0103	    0.0093	    0.0094	    0.0100	    0.0102	    0.0100	    0.0098	    0.0101	    0.0107	    0.0117	    0.0132	    0.0150	    0.0160	    0.0159	    0.0152	    0.0145	    0.0147	    0.0171	    0.0224	    1.90	    1.92	    1.88	    1.92	
105	-	   10.20	   10.20	   10.20	 0.00469	 0.00495	 0.00379	    4.47	   -0.33	    0.55	   -0.0197	   -0.0084	   -0.0071	    0.0018	    0.0040	    0.0040	    0.0045	    0.0046	    0.0047	    0.0049	    0.0051	    0.0052	    0.0054	    0.0053	    0.0051	    0.0052	    0.0052	    0.0049	    0.0045	    0.0046	    0.0048	    0.0048	    0.0047	    0.0046	    0.0047	    0.0050	    0.0054	    0.0061	    0.0068	    0.0072	    0.0072	    0.0069	    0.0068	    0.0069	    0.0082	    0.0108	    2.24	    2.25	    2.23	    2.29	
END_DATA
