CGATS.17

ORIGINATOR	i1Profiler - X-Rite, Inc.
INSTRUMENTATION	i1Pro ; Serial number 850763
DESCRIPTOR	차트 917 패치v
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	DEVCALSTD
DEVCALSTD	XRGA
CREATED2025-11-24 22:18:11

NUMBER_OF_FIELDS	49
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	LAB_C	LAB_H
END_DATA_FORMAT

NUMBER_OF_SETS	917
BEGIN_DATA
158	D5	20	255	255	0.22827	0.3148	0.47628	62.91	-30.82	-30.46	43.34	224.67
159	D6	0	191	0	0.09677	0.13657	0.07113	43.74	-25.12	14.65	29.08	149.76
160	D7	0	255	244	0.18202	0.26107	0.39114	58.14	-32.74	-28.11	43.15	220.66
161	D8	0	191	30	0.08154	0.11919	0.07949	41.09	-26.6	6.75	27.44	165.77
162	D9	94	79	94	0.14638	0.14359	0.11301	44.74	4.9	1.64	5.17	18.53
163	D10	0	191	224	0.13252	0.17584	0.38008	48.99	-22.09	-42.41	47.82	242.49
164	D11	79	63	79	0.11815	0.11265	0.0882	40.02	6.87	1.68	7.07	13.73
165	D12	0	191	255	0.16997	0.21223	0.52128	53.19	-17.9	-52.31	55.28	251.11
166	D13	61	45	61	0.08949	0.08403	0.06696	34.81	7.38	1.02	7.45	7.85
167	D14	0	127	255	0.14359	0.1597	0.42301	46.93	-6.25	-51.55	51.93	263.09
168	D15	45	30	45	0.0751	0.07127	0.05842	32.09	6.23	0.18	6.23	1.7
169	D16	0	160	191	0.1149	0.1543	0.27755	46.22	-22.13	-31.82	38.75	235.18
170	D1	191	206	206	0.43984	0.46358	0.39857	73.78	-2.07	-2.13	2.97	225.79
171	D2	0	127	160	0.10033	0.13075	0.2114	42.88	-18.61	-25.51	31.58	233.89
172	D3	255	94	63	0.48275	0.35927	0.13181	66.46	41.58	33.66	53.5	39
